prospect_id,company_name,website,companies_house_number,company_type,supplier_category,supplier_subcategory,geography,icp_reason,products_services,buying_intent_categories,contact_route,company_size_hint,researched_date,research_exclusion,research_notes
P001,National Flexible,https://www.nationalflexible.co.uk/,,ltd,flexible_packaging,,Bradford,"UK's largest distributor of polypropylene, laminates and special films on reel for flow-wrap and VFFS lines - directly the format an emerging snack or bar brand needs first.",,flexible_packaging|labels|copacking,website_form,,2026-09-08,,Bradford. Verified via web search.
P002,Clifton Packaging Group,https://www.cliftonpackaging.com/,,ltd,flexible_packaging,,Leicester,"Printed flexible films and pouches specifically for snacks, protein, spices and ready-to-eat - the exact categories the feed surfaces most.",,flexible_packaging|labels|copacking,website_form,,2026-09-08,,Leicester. Verified via web search.
P003,Protos Packaging,https://protospackaging.com/,,ltd,flexible_packaging,,Gloucestershire,"Barrier films, metallised laminates and flow wrap for crisps, nuts, popcorn and snack bars, with converting and printing in house.",,flexible_packaging|labels|copacking,website_form,,2026-09-08,,Gloucestershire. Verified via web search.
P004,Terinex Flexibles,https://terinexflexibles.com/,,ltd,flexible_packaging,,,Flexible packaging films converted into bags and pouches for food and beverage - suits brands moving from hand-packing to a machine format.,,flexible_packaging|labels|copacking,website_form,,2026-09-08,,Verified via web search.
P005,Aropack,https://aropack.co.uk/,,ltd,flexible_packaging,,,"High-barrier films and custom pouches for food, working with newer brands rather than only large accounts.",,flexible_packaging|labels|copacking,website_form,,2026-09-08,,Verified via web search.
P006,Sirane (Coppice Alupack),https://www.sirane.com/,,ltd,flexible_packaging,,Telford,"Pouches, printed film on reel, plastic-free and flow-wrap film - broad enough to serve a brand's first and second packaging format.",,flexible_packaging|labels|copacking,website_form,,2026-09-08,,Telford. Verified via web search.
P007,Pouches.co.uk,https://www.pouches.co.uk/,,ltd,flexible_packaging,,,"Flexible pouches and bespoke film packaging, positioned at smaller order quantities that suit a launching brand.",,flexible_packaging|labels|copacking,website_form,,2026-09-08,,Verified via web search.
P008,Flexi-Films UK,https://www.flexifilmsuk.com/,,ltd,flexible_packaging,,,Flexible packaging films supplier to UK food producers.,,flexible_packaging|labels|copacking,website_form,,2026-09-08,,Verified via web search.
P009,Digimock,https://digimock.com/,,ltd,flexible_packaging,,,"Food-safe flexible packaging aimed at newer brands, including digital print for short runs.",,flexible_packaging|labels|copacking,website_form,,2026-09-08,,Verified via web search. Short-run digital print is a strong fit for pre-launch brands.
P010,Constantia Flexibles UK,https://www.cflex.com/,,ltd,flexible_packaging,,,UK-made printed films and laminates for food.,,flexible_packaging|labels|copacking,website_form,,2026-09-08,,Verify UK entity and site before contacting.
P011,Reflex Group (Flexibles),https://www.reflexlabels.co.uk/,,ltd,flexible_packaging,flexibles and labels (same group as P012),,"Flexible packaging alongside labels, so a brand can consolidate both with one supplier.",,copacking|flexible_packaging|labels,website_form,,2026-09-08,"duplicate of P012 Reflex Labels — same group and domain, contact once","Verified via web search. Also a labels prospect - contact once, not twice. | Consolidated into P012, which is the stronger ICP fit."
P012,Reflex Labels,https://reflexlabels.co.uk/,,ltd,labels,"self-adhesive labels, BRCGS certified (same group as P011 flexibles)",,"One of the largest UK self-adhesive label producers, all sites BRCGS certified - relevant to every sauce, jar and bottle brand in the feed.",,labels|cartons|flexible_packaging,website_form,,2026-09-08,,Verified via web search.
P013,Baker Labels,https://www.bakerlabels.co.uk/,,ltd,labels,,,"Independent UK label manufacturer, 50+ years, plus BakPac flexible packaging - covers both label and pouch needs.",,labels|cartons|flexible_packaging,website_form,,2026-09-08,,Verified via web search.
P014,Label Solutions UK,https://label-solutions.co.uk/food-labels-printing/,,ltd,labels,,,Food label printing specialists using food-safe toner to FDA and EU standards.,,labels|cartons|flexible_packaging,website_form,,2026-09-08,,Verified via web search.
P015,Baker Materials,https://bakermaterials.co.uk/,,ltd,labels,,,Self-adhesive label material distributor - a supplier to label printers rather than to brands. Lower priority.,,labels|cartons|flexible_packaging,website_form,,2026-09-08,,"Verified via web search. One step removed from the brand, so test the pitch carefully."
P016,Smurfit Westrock Atlas Packaging,https://www.atlaspackaging.co.uk/,,ltd,cartons,,Barnstaple,"Corrugated food packaging and shelf-ready packaging for confectionery, cheese and chilled - what a brand needs when it wins its first listing.",,cartons|labels|flexible_packaging,website_form,large group,2026-09-08,,Barnstaple. Verified via web search. Large group - may only want scaled accounts.
P017,Kennedy Smith (Press),https://www.kennedysmith.co.uk/,,ltd,cartons,,,Folding cartons for food and drink manufacturers across Scotland and the wider UK.,,cartons|labels|flexible_packaging,website_form,,2026-09-08,,Verified via web search. Good fit for Scottish brands in the feed.
P018,ABC Packaging,https://www.abcpackaging.co.uk/,,ltd,cartons,,,"Bespoke food packaging from ready-meal sleeves to confectionery boxes, including shelf-ready packaging.",,cartons|labels|flexible_packaging,website_form,,2026-09-08,,Verified via web search.
P019,Wisden Packaging,https://www.wisdenpackaging.co.uk/,,ltd,cartons,,,"Folding cartons with prototyping, printing, die-cutting and finishing - prototyping matters to a brand still designing its pack.",,cartons|labels|flexible_packaging,website_form,,2026-09-08,,Verify website before contacting.
P020,Huhtamaki UK,https://www.huhtamaki.com/en-gb/,,ltd,cartons,,,"Branded retail folding cartons across cereals, biscuits, confectionery and ice cream.",,cartons|labels|flexible_packaging,website_form,large multinational,2026-09-08,,Verified via web search. Large multinational - likely wants volume.
P021,DS Smith UK,https://www.dssmith.com/uk/,,plc,cartons,,,Folding cartons and retail packaging.,,cartons|labels|flexible_packaging,website_form,large plc,2026-09-08,,Large plc. Include only to test whether scale players value the feed.
P022,Wholebake,https://www.wholebake.co.uk/,,ltd,contract_manufacturing,,Wrexham,"Contract manufacture of gluten-free bars, protein bites and clean-label snacks - the single closest fit to the cereal-bar brands in the feed.",,contract_manufacturing|copacking,website_form,,2026-09-08,,Wrexham. Verified via web search. Strongest first-contact candidate.
P023,Green & Grainy,https://www.greenandgrainy-wholesale.co.uk/contract-manufacture,,ltd,contract_manufacturing,,Somerset,"Small-batch healthy snack manufacture from energy balls to protein bars, explicitly for startups and niche brands.",,contract_manufacturing|copacking,website_form,,2026-09-08,,Somerset. Verified via web search. Explicitly serves the stage the feed identifies.
P024,Complete Co-Packing Services,https://www.completecopackingservices.co.uk/,,ltd,copacking,,"Abercynon, South Wales",Food and non-food co-packing plus warehousing and fulfilment in one place.,,copacking|contract_manufacturing|flexible_packaging,phone,,2026-09-08,,"Abercynon, South Wales. Verified via web search."
P025,Peakz,https://www.peakz.co.uk/,,ltd,copacking,,,"Private label and contract manufacturing with product runs, co-packing and warehousing, plus recipe development.",,copacking|contract_manufacturing|flexible_packaging,website_form,,2026-09-08,,Verified via web search.
P026,Snack8 Consulting,https://www.snack8.co.uk/,,ltd,contract_manufacturing,,,Turn-key route from food startup idea to retail-ready units at nominated co-packing facilities - works with exactly the pre-launch stage the feed flags.,,contract_manufacturing|copacking,website_form,,2026-09-08,,Verified via web search. Consultancy rather than a factory - may value the feed most.
P027,Prinova Solutions Europe,https://www.prinovaglobal.com/,,ltd,contract_manufacturing,,,"Functional food and beverage production, premixes, powder mixing and contract packing at a UK plant.",,contract_manufacturing|copacking,website_form,,2026-09-08,,Verified via web search. Fits the nutrition/functional brands in the feed.
P028,Wicked Imp Studios,https://www.wickedimp.co.uk/,,ltd,contract_manufacturing,,,Custom formulation and small-batch innovation for high-protein and specialist snacks.,,contract_manufacturing|copacking,website_form,,2026-09-08,,Verify website. Small-batch focus suits early brands.
P029,J&J Global Fulfilment,https://www.ecommercefulfilment.com/,,ltd,fulfilment,,,3PL for food and drink brands from snack bars to gourmet subscriptions - relevant the moment a brand starts selling direct.,,fulfilment|distribution,website_form,,2026-09-08,,Verified via web search.
P030,Bray Solutions,https://braysolutions.com/food-drink-fulfilment/,,ltd,fulfilment,,,Ecommerce 3PL specialising in food and drink.,,fulfilment|distribution,website_form,,2026-09-08,,Verified via web search.
P031,Scale 3PL,https://www.scale3pl.co.uk/,,ltd,fulfilment,,,"3PL fulfilment specifically for food, drink and supplement startups.",,fulfilment|distribution,website_form,,2026-09-08,,Verified via web search. Startup focus aligns closely with the feed.
P032,3PLUK,https://www.3pluk.co.uk/industries/food-and-drink/,,ltd,fulfilment,,,B2B and B2C fulfilment for food and drink brands.,,fulfilment|distribution,website_form,,2026-09-08,,Verified via web search.
P033,Multichannel Fulfilment,https://multichannelfulfilment.co.uk/food-and-drink-fulfilment/,,ltd,fulfilment,,,Food and beverage fulfilment and warehousing across the UK.,,fulfilment|distribution,website_form,,2026-09-08,,Verified via web search.
P034,Airbox Fulfilment,https://www.airboxfulfilment.com/industries/food-and-drink-fulfilment,,ltd,fulfilment,,,UK and EU fulfilment for food and drink brands with same-day despatch.,,fulfilment|distribution,website_form,,2026-09-08,,Verified via web search.
P035,Fodafilment,https://fodafilment.com/,,ltd,fulfilment,,,Specialist UK fulfilment for controlled FMCG brands with batch tracking and expiry control - genuinely food-specific rather than generic 3PL.,,fulfilment|distribution,website_form,,2026-09-08,,Verified via web search.
P036,NGL Fulfilment,https://www.ngl-fulfilment.com/sectors/food-drink/,,ltd,fulfilment,,,"BRCGS Storage & Distribution certified at AA grade, so acceptable to brands chasing retail listings.",,fulfilment|distribution,website_form,,2026-09-08,,Verified via web search.
P037,Vdepot,https://vdepot.co.uk/food-drink-fulfilment/,,ltd,fulfilment,,,B2C and B2B food and drink fulfilment centre.,,fulfilment|distribution,website_form,,2026-09-08,,Verified via web search.
