company_name,website,supplier_type,relevance_reason,generic_contact_email,sales_contact_route,company_type,status,sample_sent,reply_status,sample_requested,subscription_status,notes
National Flexible,https://www.nationalflexible.co.uk/,flexible_packaging,"UK's largest distributor of polypropylene, laminates and special films on reel for flow-wrap and VFFS lines - directly the format an emerging snack or bar brand needs first.",,website_form,ltd,not_contacted,,none,no,none,Bradford. Verified via web search.
Clifton Packaging Group,https://www.cliftonpackaging.com/,flexible_packaging,"Printed flexible films and pouches specifically for snacks, protein, spices and ready-to-eat - the exact categories the feed surfaces most.",,website_form,ltd,not_contacted,,none,no,none,Leicester. Verified via web search.
Protos Packaging,https://protospackaging.com/,flexible_packaging,"Barrier films, metallised laminates and flow wrap for crisps, nuts, popcorn and snack bars, with converting and printing in house.",,website_form,ltd,not_contacted,,none,no,none,Gloucestershire. Verified via web search.
Terinex Flexibles,https://terinexflexibles.com/,flexible_packaging,Flexible packaging films converted into bags and pouches for food and beverage - suits brands moving from hand-packing to a machine format.,,website_form,ltd,not_contacted,,none,no,none,Verified via web search.
Aropack,https://aropack.co.uk/,flexible_packaging,"High-barrier films and custom pouches for food, working with newer brands rather than only large accounts.",,website_form,ltd,not_contacted,,none,no,none,Verified via web search.
Sirane (Coppice Alupack),https://www.sirane.com/,flexible_packaging,"Pouches, printed film on reel, plastic-free and flow-wrap film - broad enough to serve a brand's first and second packaging format.",,website_form,ltd,not_contacted,,none,no,none,Telford. Verified via web search.
Pouches.co.uk,https://www.pouches.co.uk/,flexible_packaging,"Flexible pouches and bespoke film packaging, positioned at smaller order quantities that suit a launching brand.",,website_form,ltd,not_contacted,,none,no,none,Verified via web search.
Flexi-Films UK,https://www.flexifilmsuk.com/,flexible_packaging,Flexible packaging films supplier to UK food producers.,,website_form,ltd,not_contacted,,none,no,none,Verified via web search.
Digimock,https://digimock.com/,flexible_packaging,"Food-safe flexible packaging aimed at newer brands, including digital print for short runs.",,website_form,ltd,not_contacted,,none,no,none,Verified via web search. Short-run digital print is a strong fit for pre-launch brands.
Constantia Flexibles UK,https://www.cflex.com/,flexible_packaging,UK-made printed films and laminates for food.,,website_form,ltd,not_contacted,,none,no,none,Verify UK entity and site before contacting.
Reflex Group (Flexibles),https://www.reflexlabels.co.uk/,flexible_packaging,"Flexible packaging alongside labels, so a brand can consolidate both with one supplier.",,website_form,ltd,not_contacted,,none,no,none,"Verified via web search. Also a labels prospect - contact once, not twice."
Reflex Labels,https://reflexlabels.co.uk/,labels,"One of the largest UK self-adhesive label producers, all sites BRCGS certified - relevant to every sauce, jar and bottle brand in the feed.",,website_form,ltd,not_contacted,,none,no,none,Verified via web search.
Baker Labels,https://www.bakerlabels.co.uk/,labels,"Independent UK label manufacturer, 50+ years, plus BakPac flexible packaging - covers both label and pouch needs.",,website_form,ltd,not_contacted,,none,no,none,Verified via web search.
Label Solutions UK,https://label-solutions.co.uk/food-labels-printing/,labels,Food label printing specialists using food-safe toner to FDA and EU standards.,,website_form,ltd,not_contacted,,none,no,none,Verified via web search.
Baker Materials,https://bakermaterials.co.uk/,labels,Self-adhesive label material distributor - a supplier to label printers rather than to brands. Lower priority.,,website_form,ltd,not_contacted,,none,no,none,"Verified via web search. One step removed from the brand, so test the pitch carefully."
Smurfit Westrock Atlas Packaging,https://www.atlaspackaging.co.uk/,cartons,"Corrugated food packaging and shelf-ready packaging for confectionery, cheese and chilled - what a brand needs when it wins its first listing.",,website_form,ltd,not_contacted,,none,no,none,Barnstaple. Verified via web search. Large group - may only want scaled accounts.
Kennedy Smith (Press),https://www.kennedysmith.co.uk/,cartons,Folding cartons for food and drink manufacturers across Scotland and the wider UK.,,website_form,ltd,not_contacted,,none,no,none,Verified via web search. Good fit for Scottish brands in the feed.
ABC Packaging,https://www.abcpackaging.co.uk/,cartons,"Bespoke food packaging from ready-meal sleeves to confectionery boxes, including shelf-ready packaging.",,website_form,ltd,not_contacted,,none,no,none,Verified via web search.
Wisden Packaging,https://www.wisdenpackaging.co.uk/,cartons,"Folding cartons with prototyping, printing, die-cutting and finishing - prototyping matters to a brand still designing its pack.",,website_form,ltd,not_contacted,,none,no,none,Verify website before contacting.
Huhtamaki UK,https://www.huhtamaki.com/en-gb/,cartons,"Branded retail folding cartons across cereals, biscuits, confectionery and ice cream.",,website_form,ltd,not_contacted,,none,no,none,Verified via web search. Large multinational - likely wants volume.
DS Smith UK,https://www.dssmith.com/uk/,cartons,Folding cartons and retail packaging.,,website_form,plc,not_contacted,,none,no,none,Large plc. Include only to test whether scale players value the feed.
Wholebake,https://www.wholebake.co.uk/,contract_manufacturing,"Contract manufacture of gluten-free bars, protein bites and clean-label snacks - the single closest fit to the cereal-bar brands in the feed.",,website_form,ltd,not_contacted,,none,no,none,Wrexham. Verified via web search. Strongest first-contact candidate.
Green & Grainy,https://www.greenandgrainy-wholesale.co.uk/contract-manufacture,contract_manufacturing,"Small-batch healthy snack manufacture from energy balls to protein bars, explicitly for startups and niche brands.",,website_form,ltd,not_contacted,,none,no,none,Somerset. Verified via web search. Explicitly serves the stage the feed identifies.
Complete Co-Packing Services,https://www.completecopackingservices.co.uk/,copacking,Food and non-food co-packing plus warehousing and fulfilment in one place.,,phone,ltd,not_contacted,,none,no,none,"Abercynon, South Wales. Verified via web search."
Peakz,https://www.peakz.co.uk/,copacking,"Private label and contract manufacturing with product runs, co-packing and warehousing, plus recipe development.",,website_form,ltd,not_contacted,,none,no,none,Verified via web search.
Snack8 Consulting,https://www.snack8.co.uk/,contract_manufacturing,Turn-key route from food startup idea to retail-ready units at nominated co-packing facilities - works with exactly the pre-launch stage the feed flags.,,website_form,ltd,not_contacted,,none,no,none,Verified via web search. Consultancy rather than a factory - may value the feed most.
Prinova Solutions Europe,https://www.prinovaglobal.com/,contract_manufacturing,"Functional food and beverage production, premixes, powder mixing and contract packing at a UK plant.",,website_form,ltd,not_contacted,,none,no,none,Verified via web search. Fits the nutrition/functional brands in the feed.
Wicked Imp Studios,https://www.wickedimp.co.uk/,contract_manufacturing,Custom formulation and small-batch innovation for high-protein and specialist snacks.,,website_form,ltd,not_contacted,,none,no,none,Verify website. Small-batch focus suits early brands.
J&J Global Fulfilment,https://www.ecommercefulfilment.com/,fulfilment,3PL for food and drink brands from snack bars to gourmet subscriptions - relevant the moment a brand starts selling direct.,,website_form,ltd,not_contacted,,none,no,none,Verified via web search.
Bray Solutions,https://braysolutions.com/food-drink-fulfilment/,fulfilment,Ecommerce 3PL specialising in food and drink.,,website_form,ltd,not_contacted,,none,no,none,Verified via web search.
Scale 3PL,https://www.scale3pl.co.uk/,fulfilment,"3PL fulfilment specifically for food, drink and supplement startups.",,website_form,ltd,not_contacted,,none,no,none,Verified via web search. Startup focus aligns closely with the feed.
3PLUK,https://www.3pluk.co.uk/industries/food-and-drink/,fulfilment,B2B and B2C fulfilment for food and drink brands.,,website_form,ltd,not_contacted,,none,no,none,Verified via web search.
Multichannel Fulfilment,https://multichannelfulfilment.co.uk/food-and-drink-fulfilment/,fulfilment,Food and beverage fulfilment and warehousing across the UK.,,website_form,ltd,not_contacted,,none,no,none,Verified via web search.
Airbox Fulfilment,https://www.airboxfulfilment.com/industries/food-and-drink-fulfilment,fulfilment,UK and EU fulfilment for food and drink brands with same-day despatch.,,website_form,ltd,not_contacted,,none,no,none,Verified via web search.
Fodafilment,https://fodafilment.com/,fulfilment,Specialist UK fulfilment for controlled FMCG brands with batch tracking and expiry control - genuinely food-specific rather than generic 3PL.,,website_form,ltd,not_contacted,,none,no,none,Verified via web search.
NGL Fulfilment,https://www.ngl-fulfilment.com/sectors/food-drink/,fulfilment,"BRCGS Storage & Distribution certified at AA grade, so acceptable to brands chasing retail listings.",,website_form,ltd,not_contacted,,none,no,none,Verified via web search.
Vdepot,https://vdepot.co.uk/food-drink-fulfilment/,fulfilment,B2C and B2B food and drink fulfilment centre.,,website_form,ltd,not_contacted,,none,no,none,Verified via web search.
Cotswold Fayre,https://www.cotswold-fayre.co.uk/,distribution,"Speciality food wholesaler to 2,000+ independent retailers, actively listing new premium brands - the feed is their new-brand pipeline.",,website_form,ltd,not_contacted,,none,no,none,Theale. B Corp. Verified via web search. Among the strongest fits in the list.
Sauce Master,https://www.saucemasterltd.co.uk/,contract_manufacturing,"Private-label production and recipe formulation for sauces, dressings and marinades - the sauces_condiments brands in the feed are their exact market.",,website_form,ltd,not_contacted,,none,no,none,30+ years. Verified via web search.
Cotswold Gold,https://cotswoldgold.co.uk/,contract_manufacturing,"White-label artisan oils, dressings, rubs and condiments, made to retail-ready standard.",,website_form,ltd,not_contacted,,none,no,none,Verified via web search.
Blackfriars Bakery,https://www.blackfriarsbakery.co.uk/,contract_manufacturing,Contract manufacturing and NPD for bakery - matches the biscuits and bakery brands in the feed.,,website_form,ltd,not_contacted,,none,no,none,Est. 1988. Verified via web search.
Devonvale,https://www.devonvale.co.uk/,contract_manufacturing,"Individually wrapped flapjacks, cereal bars and protein bars for branded and private-label clients - the cereal_bars category almost exactly.",,website_form,ltd,not_contacted,,none,no,none,Verified via web search. Strong first-contact candidate.
Perfection Foods,https://www.perfectionfoods.co.uk/,contract_manufacturing,"Cake, muffin and allergen-free bakery manufacture with private-label solutions.",,website_form,ltd,not_contacted,,none,no,none,Verify website. Verified name via web search.
Hames Chocolates,https://www.hameschocolates.co.uk/,contract_manufacturing,Private-label and branded chocolate manufacture - fits the confectionery brands in the feed.,,website_form,ltd,not_contacted,,none,no,none,Lincolnshire. Verified via web search.
Eastern Country Foods,https://www.easterncountryfoods.co.uk/,contract_manufacturing,Private-label sauces and condiments manufacture.,,website_form,ltd,not_contacted,,none,no,none,Verify website before contacting.
CP Foods UK,https://www.cpfoods.co.uk/,copacking,"BRC-certified contract packing with flow wrapping, cartoning, bagging, sleeving, coding and labelling across chilled and frozen.",,website_form,ltd,not_contacted,,none,no,none,Verified via web search.
WePack,https://www.we-pack.co.uk/,copacking,BRCGS-certified contract packing and filling for wet and dry ambient food from 1g to 500g - small fill weights suit a first production run.,,website_form,ltd,not_contacted,,none,no,none,Verified via web search.
UK Food Packers,https://www.ukfoodpackers.co.uk/,copacking,"Contract packing and blending of ambient sauces, marinades, dry powders and crumbs to BRCGS V9.",,website_form,ltd,not_contacted,,none,no,none,Verified via web search.
Romix Foods,https://romixfoods.co.uk/,copacking,"BRC AA grade co-packer covering baking kits, sachets and free-from options.",,website_form,ltd,not_contacted,,none,no,none,Verified via web search.
Moorheys,https://moorheys.co.uk/,copacking,BRC-certified contract packing across multiple UK sites.,,website_form,ltd,not_contacted,,none,no,none,Verified via web search.
Packfill,https://packfill.co.uk/,copacking,Co-packing and filling services.,,website_form,ltd,not_contacted,,none,no,none,Verified via web search. Confirm food capability before contacting.
Tom Walker & Sons,https://www.tomwalkerandsons.co.uk/,copacking,"BRC-accredited contract food packing including cheese cutting and packing, dry goods and selection packs.",,website_form,ltd,not_contacted,,none,no,none,Verify website. Verified name via web search.
Diverse Fine Food,https://www.diversefinefood.co.uk/,distribution,"Speciality food distributor to independent retail - takes on new premium brands, which is what the feed produces.",,website_form,ltd,not_contacted,,none,no,none,Verify website before contacting.
Hider Food Imports,https://www.hiderfoods.co.uk/,distribution,Speciality and fine food wholesaler supplying independents and farm shops.,,website_form,ltd,not_contacted,,none,no,none,Hull. Verify before contacting.
Empire Bespoke Foods,https://www.empirebespokefoods.com/,brokerage,Brand distribution and route-to-market into UK grocery for smaller food brands.,,website_form,ltd,not_contacted,,none,no,none,Verify before contacting.
Faire (UK wholesale marketplace),https://www.faire.com/,brokerage,Wholesale marketplace connecting emerging brands to independent retail - a channel partner rather than a classic broker.,,website_form,unknown,not_contacted,,none,no,none,Non-UK parent. Lower priority; included to test the channel.
Bidfood UK,https://www.bidfood.co.uk/,distribution,National foodservice distributor with a new-brand listing process.,,website_form,ltd,not_contacted,,none,no,none,Large. Likely wants scale - include only to test the top end.
Kitwave Group,https://www.kitwave.co.uk/,distribution,"Wholesale distributor across impulse, snacks and ambient grocery.",,website_form,plc,not_contacted,,none,no,none,Verify before contacting.
Amberley Labels,https://www.amberleylabels.co.uk/,labels,Self-adhesive label printing for food and drink producers.,,website_form,ltd,not_contacted,,none,no,none,Verify website before contacting.
Springfield Solutions,https://www.springfieldsolutions.co.uk/,labels,Label printing for food and drink brands.,,website_form,ltd,not_contacted,,none,no,none,Verify website before contacting.
